SOIL_PH,TEMP,RELATIVE_HUMIDITY,N,P,K,CROPS
6.6,25.3,54.1,63.9,56.6,40.2,tapoica
6.4,22.9,90.0,138.7,66.8,108.3,brinjal
6.5,27.6,51.1,90.3,45.5,44.2,tapoica
6.2,20.5,76.4,66.7,55.1,99.6,bottle gourd
6.3,24.2,98.0,105.7,93.0,98.1,bhendi
7.6,30.1,85.3,31.6,37.9,26.7,gingely
5.6,25.4,18.7,34.2,26.7,22.6,varagu
6.8,27.2,87.8,100.8,43.4,55.6,peas
5.8,25.1,83.8,98.7,49.0,45.8,vegetable cowpea
7.3,22.5,72.6,107.5,40.7,48.1,cotton
6.1,24.8,81.2,105.8,49.0,61.6,watermelon
5.9,26.3,79.8,67.1,56.4,56.5,vegetable cowpea
6.3,23.4,55.6,111.0,60.0,52.1,wheat
6.2,28.7,80.9,40.1,21.5,29.2,pearl millet
6.8,15.4,66.5,112.3,60.4,85.7,carrot
6.5,26.8,74.2,65.1,68.2,99.5,ash gourd
5.7,27.9,55.8,84.6,53.5,41.1,tapoica
5.7,26.0,17.5,40.0,29.5,21.5,varagu
6.6,25.9,95.5,101.4,55.3,49.6,cauliflower
6.6,33.2,62.9,86.3,50.2,53.7,cucumber
6.1,22.9,87.9,82.3,64.1,75.4,snake gourd
7.1,31.0,80.7,100.5,43.7,98.2,muskmelon
6.0,24.0,77.0,74.4,40.7,47.7,vegetable cowpea
6.3,18.1,99.9,92.4,44.4,59.9,beetroot
6.5,28.4,90.6,24.9,30.6,29.2,gingely
6.9,20.0,17.8,57.3,38.8,22.5,kudiraivali
6.2,18.5,90.0,130.9,75.9,85.8,brinjal
6.5,23.8,75.4,56.5,32.1,27.5,soyabean
6.2,23.8,85.5,99.3,55.9,42.0,sweet potato
6.1,18.9,77.6,68.2,50.0,61.7,bottle gourd
6.4,12.4,17.1,33.7,25.4,23.5,ragi
6.1,26.8,17.0,34.7,26.8,25.7,varagu
6.0,36.3,90.1,62.3,51.6,59.2,sorghum
6.4,20.0,17.9,46.5,27.4,37.8,kudiraivali
6.1,21.0,80.9,95.7,55.8,43.7,chowchow
6.5,28.4,59.1,80.7,67.7,67.8,ash gourd
8.6,38.3,19.1,33.5,22.6,28.9,samai
6.1,20.9,75.9,139.4,69.4,67.3,maize
5.9,20.0,75.1,101.4,53.8,87.4,onion
6.7,20.9,90.0,139.4,70.8,112.1,brinjal
5.9,20.5,79.2,106.6,79.9,112.5,onion
5.5,32.1,83.6,69.5,46.4,45.2,elephant foot yam
7.2,26.2,89.0,22.3,24.5,29.3,gingely
6.8,31.2,71.6,42.8,28.1,26.9,horsegram
6.6,24.7,70.2,177.0,74.2,130.7,sugarcane
